T0: [-0.050000, 0.050000] [0.340000, 0.440000] [0.610000, 0.710000] [0.760000, 0.860000] [0.790000, 0.890000] [0.700000, 0.800000] [0.490000, 0.590000] [0.160000, 0.260000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T22: [0.193827, 0.293828] [0.246118, 0.346119] [0.254800, 0.354801] [0.287042, 0.387043] [0.276360, 0.376361] [0.279856, 0.379857] [0.248893, 0.348894] [0.227765, 0.327766] [0.184680, 0.284681] [0.153082, 0.253083] [0.110725, 0.210726] [0.085366, 0.185367] [0.055022, 0.155022] [0.048706, 0.148706] [0.036213, 0.136213] [0.054975, 0.154975] [0.060110, 0.160110] [0.102236, 0.202237] [0.119367, 0.219367] [0.174851, 0.274851] 
T23: [0.210484, 0.310485] [0.224314, 0.324315] [0.266580, 0.366581] [0.265580, 0.365581] [0.283449, 0.383450] [0.262626, 0.362628] [0.253811, 0.353812] [0.216787, 0.316788] [0.190424, 0.290425] [0.147703, 0.247704] [0.119224, 0.219225] [0.082874, 0.182874] [0.067036, 0.167036] [0.045617, 0.145618] [0.051840, 0.151841] [0.048161, 0.148162] [0.078605, 0.178606] [0.089738, 0.189738] [0.138543, 0.238544] [0.156597, 0.256597] 
T24: [0.190455, 0.290456] [0.238532, 0.338533] [0.244947, 0.344948] [0.275014, 0.375015] [0.264103, 0.364104] [0.268630, 0.368631] [0.239706, 0.339708] [0.222117, 0.322118] [0.182245, 0.282246] [0.154824, 0.254825] [0.115288, 0.215289] [0.093130, 0.193131] [0.064245, 0.164246] [0.059438, 0.159439] [0.046889, 0.146890] [0.065223, 0.165223] [0.068950, 0.168950] [0.108574, 0.208575] [0.123167, 0.223168] [0.174514, 0.274515] 
T25: [0.206523, 0.306524] [0.217701, 0.317702] [0.256773, 0.356774] [0.254525, 0.354526] [0.271822, 0.371823] [0.251905, 0.351906] [0.245373, 0.345375] [0.210975, 0.310977] [0.188470, 0.288472] [0.148766, 0.248768] [0.123977, 0.223978] [0.089767, 0.189768] [0.076284, 0.176285] [0.055567, 0.155568] [0.062330, 0.162331] [0.057919, 0.157920] [0.086899, 0.186899] [0.096058, 0.196059] [0.141544, 0.241545] [0.156811, 0.256812] 
T26: [0.187256, 0.287257] [0.231648, 0.331649] [0.236113, 0.336114] [0.264297, 0.364299] [0.253215, 0.353216] [0.258597, 0.358599] [0.231440, 0.331442] [0.216922, 0.316923] [0.179871, 0.279872] [0.156224, 0.256225] [0.119266, 0.219268] [0.100130, 0.200131] [0.072667, 0.172668] [0.069307, 0.169308] [0.056743, 0.156744] [0.074614, 0.174615] [0.076989, 0.176989] [0.114221, 0.214222] [0.126435, 0.226435] [0.174033, 0.274034] 
T27: [0.202840, 0.302842] [0.211684, 0.311686] [0.247972, 0.347974] [0.244664, 0.344665] [0.261447, 0.361449] [0.242327, 0.342329] [0.237760, 0.337761] [0.205655, 0.305657] [0.186573, 0.286574] [0.149569, 0.249570] [0.128177, 0.228178] [0.095967, 0.195968] [0.084719, 0.184720] [0.064705, 0.164706] [0.071961, 0.171962] [0.066866, 0.166867] [0.094418, 0.194419] [0.101712, 0.201712] [0.144127, 0.244128] [0.156845, 0.256846] 
T28: [0.184265, 0.284266] [0.225406, 0.325408] [0.228174, 0.328175] [0.254710, 0.354712] [0.243495, 0.343497] [0.249603, 0.349605] [0.223991, 0.323993] [0.212166, 0.312168] [0.177612, 0.277614] [0.157375, 0.257376] [0.122768, 0.222769] [0.106448, 0.206449] [0.080336, 0.180337] [0.078340, 0.178341] [0.065786, 0.165786] [0.083189, 0.183190] [0.084289, 0.184290] [0.119272, 0.219273] [0.129278, 0.229279] [0.173484, 0.273485] 
T29: [0.199445, 0.299446] [0.206219, 0.306221] [0.240058, 0.340060] [0.235835, 0.335836] [0.252156, 0.352159] [0.233743, 0.333745] [0.230885, 0.330887] [0.200802, 0.300803] [0.184770, 0.284772] [0.150190, 0.250191] [0.131911, 0.231913] [0.101552, 0.201553] [0.092394, 0.192395] [0.073061, 0.173062] [0.080764, 0.180765] [0.075037, 0.175038] [0.101231, 0.201232] [0.106784, 0.206784] [0.146378, 0.246379] [0.156771, 0.256773] 
T30: [0.181495, 0.281497] [0.219751, 0.319753] [0.221027, 0.321029] [0.246107, 0.346109] [0.234789, 0.334791] [0.241521, 0.341523] [0.217272, 0.317274] [0.207827, 0.307830] [0.175496, 0.275498] [0.158341, 0.258343] [0.125871, 0.225872] [0.112152, 0.212154] [0.087306, 0.187307] [0.086579, 0.186580] [0.074049, 0.174050] [0.090998, 0.190999] [0.090910, 0.190911] [0.123804, 0.223805] [0.131777, 0.231779] [0.172911, 0.272913] 
T31: [0.196331, 0.296333] [0.201261, 0.301263] [0.232929, 0.332931] [0.227908, 0.327910] [0.243814, 0.343816] [0.226031, 0.326033] [0.224674, 0.324676] [0.196384, 0.296386] [0.183084, 0.283086] [0.150683, 0.250685] [0.135247, 0.235248] [0.106588, 0.206590] [0.099366, 0.199367] [0.080677, 0.180679] [0.088788, 0.188789] [0.082480, 0.182481] [0.107401, 0.207402] [0.111344, 0.211345] [0.148358, 0.248359] [0.156636, 0.256638] 
