T36: [-0.050006, 0.049996] [0.339983, 0.439988] [0.609976, 0.709983] [0.759984, 0.859993] [0.789999, 0.890009] [0.700012, 0.800022] [0.490014, 0.590022] [0.160007, 0.260012] [-0.049998, 0.050005] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050002, 0.049999] 
T37: [0.144993, 0.244993] [0.279979, 0.379980] [0.549974, 0.649979] [0.699984, 0.799991] [0.730000, 0.830008] [0.640015, 0.740023] [0.430020, 0.530028] [0.220011, 0.320016] [0.055001, 0.155003] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T38: [-0.050006, 0.049996] [0.339982, 0.439987] [0.609975, 0.709982] [0.759983, 0.859993] [0.789999, 0.890010] [0.700013, 0.800023] [0.490015, 0.590023] [0.160008, 0.260013] [-0.049998, 0.050005] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050003, 0.049999] 
T39: [0.144992, 0.244993] [0.279978, 0.379979] [0.549973, 0.649978] [0.699983, 0.799991] [0.730000, 0.830009] [0.640016, 0.740025] [0.430021, 0.530029] [0.220012, 0.320017] [0.055001, 0.155003] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T40: [-0.050007, 0.049996] [0.339981, 0.439987] [0.609973, 0.709981] [0.759982, 0.859993] [0.789999, 0.890010] [0.700014, 0.800024] [0.490016, 0.590024] [0.160008, 0.260014] [-0.049998, 0.050005] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050003, 0.049999] 
T41: [0.144992, 0.244993] [0.279977, 0.379978] [0.549971, 0.649977] [0.699982, 0.799990] [0.730000, 0.830010] [0.640016, 0.740026] [0.430022, 0.530031] [0.220012, 0.320018] [0.055001, 0.155004] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T42: [-0.050007, 0.049995] [0.339980, 0.439986] [0.609972, 0.709980] [0.759981, 0.859993] [0.789998, 0.890011] [0.700014, 0.800025] [0.490017, 0.590026] [0.160009, 0.260014] [-0.049998, 0.050006] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050003, 0.049999] 
T43: [0.144991, 0.244992] [0.279976, 0.379977] [0.549970, 0.649976] [0.699981, 0.799990] [0.730000, 0.830010] [0.640017, 0.740027] [0.430023, 0.530032] [0.220013, 0.320019] [0.055001, 0.155004] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
T44: [-0.050007, 0.049995] [0.339979, 0.439986] [0.609971, 0.709980] [0.759980, 0.859992] [0.789998, 0.890011] [0.700015, 0.800027] [0.490017, 0.590027] [0.160009, 0.260015] [-0.049997, 0.050006] [-0.050000, 0.050001] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050003, 0.049999] 
T45: [0.144991, 0.244992] [0.279974, 0.379977] [0.549968, 0.649975] [0.699980, 0.799990] [0.730000, 0.830011] [0.640018, 0.740029] [0.430025, 0.530034] [0.220013, 0.320020] [0.055001, 0.155004] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] [-0.050000, 0.050000] 
